Restaurant,Category,Items,Cost (USD),Calories,Protein (g),Fat (g),Carbs (g),Sugar (g),Sodium (g)
chick-fil-a,Dessert,CFA - Chocolate Milkshake,3.15,750,16,28,113,90,0.52
chick-fil-a,Dessert,CFA - Cookie & Cream Milkshake,3.15,700,17,33,100,92,0.55
chick-fil-a,Dessert,CFA - Icecream cone,1.65,170,5,4,31,31,0.115
chick-fil-a,Dessert,CFA - Peach Milkshake,3.15,850,15,21,153,28,0.54
chick-fil-a,Dessert,CFA - Strawberry Milkshake,3.15,770,16,28,118,28,0.53
chick-fil-a,Dessert,CFA - Vanilla Milkshake,3.15,660,16,27,91,90,0.51
chick-fil-a,Drink,CFA - 100% Colombian Coffee,2.35,5,1,0,0,67,0.01
chick-fil-a,Drink,CFA - Chocolate Milk,1.19,160,6,2,21,54,0.19
chick-fil-a,Drink,CFA - Coca-Cola,1.85,250,0,0,69,102,0.025
chick-fil-a,Drink,CFA - Diet Coke,1.85,5,0,0,0,6,0.01
chick-fil-a,Drink,CFA - Diet Lemonade,1.85,30,0,0,11,6,0.015
chick-fil-a,Drink,CFA - Dr. Pepper,1.85,260,0,0,70,126,0.09
chick-fil-a,Drink,CFA - Iced Tea- Sweetened,1.85,220,0,0,57,157,0.015
chick-fil-a,Drink,CFA - Iced Tea- Unsweetened,1.85,0,0,0,0,120,0.02
chick-fil-a,Drink,CFA - Lemonade: Large,1.98,350,0,0,92,90,0.015
chick-fil-a,Drink,CFA - Milk,1.19,110,7,4,12,52,0.115
chick-fil-a,Drink,CFA - Minute Maid Apple Juice Box,1.09,100,0,0,23,70,0.015
chick-fil-a,Drink,CFA - Orange Juice,2.15,140,2,0,33,65,0
chick-fil-a,Salad,CFA - Chargrilled & Fruit Salad,8.19,230,22,6,23,15,0.65
chick-fil-a,Salad,CFA - Chargrilled Chicken Garden Salad,8.19,180,22,6,11,6,0.65
chick-fil-a,Salad,CFA - Chick-n-Strip Salad,8.19,470,41,23,27,8,1.34
chick-fil-a,Salad,CFA - Chicken Salad Cup,5.15,350,27,24,6,4,1.1
chick-fil-a,Salad,CFA - Fruit Cup,4.25,100,1,0,27,10,0
chick-fil-a,Salad,CFA - Garlic and Butter Croutons,6.19,60,1,2,9,15,0.15
chick-fil-a,Salad,CFA - Hearty Breast of Chicken Soup,8.35,220,12,6,30,5,1.76
chick-fil-a,Salad,CFA - Southwest Chargrilled Salad,8.19,240,26,9,18,7,0.82
chick-fil-a,Sandwich,CFA - Chargrilled Chicken Club Sandwich,5.59,410,37,12,39,16,1.46
chick-fil-a,Sandwich,CFA - Chargrilled Chicken Cool Wrap,5.19,410,33,12,50,8,1.3
chick-fil-a,Sandwich,CFA - Chargrilled Chicken Sandwich,5.59,300,29,4,38,17,1.12
chick-fil-a,Sandwich,CFA - Chicken Caesar Cool Wrap,5.19,460,39,15,47,10,1.52
chick-fil-a,Sandwich,CFA - Chicken Deluxe Sandwich,3.65,500,35,21,43,18,1.63
chick-fil-a,Sandwich,CFA - Chicken Salad Sandwich,3.99,500,29,20,52,14,1.24
chick-fil-a,Sandwich,CFA - Chicken Sandwich,3.05,430,31,17,39,14,1.37
chick-fil-a,Sandwich,CFA - Spicy Chicken Cool Wrap,5.19,410,35,12,48,13,1.38
chick-fil-a,Sandwich,CFA - Spicy Chicken Deluxe Sandwich,3.89,580,36,27,48,13,1.88
chick-fil-a,Sandwich,CFA - Spicy Chicken Sandwich,3.29,490,31,20,46,58,1.73
chick-fil-a,Side,CFA - Chick-n-Strips: 4 count,4.39,500,47,24,24,21,1.63
chick-fil-a,Side,CFA - Nuggets: 12-count,4.45,400,42,17,18,19,1.48
chick-fil-a,Side,CFA - Side Salad,2.89,70,5,5,5,3,0.11
chick-fil-a,Side,CFA - Waffle Potato Fries,1.85,430,5,23,50,7,0.21
mcdonalds,Drink,McD - 1% Low Fat Milk Jug,1.00,100,8,2.5,12,12,0.125
mcdonalds,Side,McD - Apple Slices,1.00,15,0,0,4,3,0
mcdonalds,Sandwich,McD - Bacon Clubhouse Burger,4.49,720,39,40,51,14,1.47
mcdonalds,Sandwich,McD - Bacon Clubhouse Crispy Chicken Sandwich,4.49,750,36,38,65,16,1.72
mcdonalds,Sandwich,McD - Bacon Clubhouse Grilled Chicken Sandwich,4.49,590,40,25,51,14,1.56
mcdonalds,Breakfast,"McD - Bacon, Egg & Cheese Bagel",2.79,620,30,31,57,7,1.48
mcdonalds,Breakfast,"McD - Bacon, Egg & Cheese Biscuit",3.19,460,19,26,38,3,1.3
mcdonalds,Breakfast,"McD - Bacon, Egg & Cheese McGriddles",2.79,460,19,21,48,15,1.25
mcdonalds,Dessert,McD - Baked Apple Pie,1.00,250,2,13,32,13,0.17
mcdonalds,Breakfast,McD - Big Breakfast,3.69,740,28,48,51,3,1.56
mcdonalds,Breakfast,McD - Big Breakfast with Egg Whites,5.49,640,26,37,50,3,1.59
mcdonalds,Breakfast,McD - Big Breakfast with Hotcakes,5.49,1090,36,56,111,17,2.15
mcdonalds,Sandwich,McD - Big Mac,3.99,530,24,27,47,9,0.96
mcdonalds,Drink,McD - Blueberry Pomegranate Smoothie,2.89,260,3,1,62,54,0.05
mcdonalds,Drink,McD - Caramel Iced Coffee,1.79,180,1,7,29,28,0.05
mcdonalds,Drink,McD - Caramel Latte,1.79,340,11,10,50,48,0.14
mcdonalds,Sandwich,McD - Cheeseburger,1.00,290,15,11,33,7,0.68
mcdonalds,Side,McD - Chicken McNuggets (10 piece),4.49,470,22,30,30,0,0.9
mcdonalds,Side,McD - Chicken McNuggets (20 piece),5.00,940,44,59,59,0,1.8
mcdonalds,Side,McD - Chicken McNuggets (40 piece),8.99,1880,87,118,118,1,3.6
mcdonalds,Dessert,McD - Chocolate Chip Cookie,0.39,160,2,8,21,15,0.09
mcdonalds,Drink,McD - Chocolate Shake,2.59,700,15,20,114,97,0.3
mcdonalds,Drink,McD - Coca-Cola Classic,1.29,200,0,0,55,55,0.005
mcdonalds,Drink,McD - Diet Coke,1.29,0,0,0,0,0,0.02
mcdonalds,Drink,McD - Diet Dr Pepper,1.29,0,3,0,0,0,0.1
mcdonalds,Sandwich,McD - Double Cheeseburger,2.00,430,24,21,35,7,1.04
mcdonalds,Sandwich,McD - Double Quarter Pounder with Cheese,4.79,750,48,43,42,10,1.28
mcdonalds,Drink,McD - Dr Pepper,1.29,190,0,0,53,51,0.065
mcdonalds,Breakfast,McD - Egg McMuffin,2.79,300,17,13,31,3,0.75
mcdonalds,Breakfast,McD - Egg White Delight,2.79,250,18,8,30,3,0.77
mcdonalds,Drink,McD - Fat Free Chocolate Milk Jug,1.49,130,9,0,23,22,0.135
mcdonalds,Sandwich,McD - Filet-O-Fish,3.79,390,15,19,39,5,0.59
mcdonalds,Drink,McD - Frappé Caramel,1.79,550,9,23,79,71,0.16
mcdonalds,Drink,McD - Frappé Mocha,1.79,550,9,22,80,71,0.16
mcdonalds,Drink,McD - French Vanilla Iced Coffee,1.79,170,1,7,27,26,0.055
mcdonalds,Drink,McD - French Vanilla Latte,1.79,330,11,10,48,45,0.14
mcdonalds,Sandwich,McD - Hamburger,0.89,240,12,8,32,6,0.48
mcdonalds,Drink,McD - Hazelnut Iced Coffee,1.79,180,1,7,29,28,0.05
mcdonalds,Drink,McD - Hazelnut Latte,1.79,330,11,10,50,47,0.14
mcdonalds,Dessert,McD - Hot Caramel Sundae,1.29,340,7,8,60,43,0.15
mcdonalds,Dessert,McD - Hot Fudge Sundae,1.29,330,8,9,53,48,0.17
mcdonalds,Breakfast,McD - Hotcakes,2.49,350,8,9,60,14,0.59
mcdonalds,Breakfast,McD - Hotcakes and Sausage,3.19,520,15,24,61,14,0.93
mcdonalds,Drink,McD - Iced Caramel Mocha,1.79,340,9,13,46,41,0.17
mcdonalds,Drink,McD - Iced Mocha,1.79,350,9,13,50,43,0.15
mcdonalds,Drink,McD - Latte,1.79,210,11,10,18,15,0.14
