Category,Items,Cost (USD) ,Calories ,Protein (g),Fat (g),Carbs (g),Sugar (g),Sodium (g)
Drink,Minute Maid Orange Juice (Large),1.49,280,4,0,65,58,0.005
Drink,Dasani Water Bottle,1,0,0,0,0,0,0
Drink,Iced Tea (Small),1,0,0,0,0,0,0.01
Drink,Iced Tea (Medium),1.29,0,0,0,0,0,0.01
Drink,Iced Tea (Large),1.49,0,0,0,0,0,0.015
Drink,Sweet Tea (Small),1,150,1,0,36,36,0.01
Drink,Sweet Tea (Medium),1.29,180,1,0,45,45,0.01
Drink,Sweet Tea (Large),1.49,220,1,0,54,54,0.01
Drink,Coffee (Small),1,0,0,0,0,0,0
Drink,Coffee (Medium),1.29,0,0,0,0,0,0
Drink,Coffee (Large),1.49,0,0,0,0,0,0
Drink,Latte (Small),1.39,170,9,9,15,12,0.115
Drink,Latte (Medium),1.79,210,11,10,18,15,0.14
Drink,Latte (Large),1.99,280,15,14,24,20,0.18
Drink,Caramel Latte (Small),1.39,270,9,9,40,38,0.115
Drink,Caramel Latte (Medium),1.79,340,11,10,50,48,0.14
Drink,Caramel Latte (Large),1.99,430,15,14,62,59,0.18
Drink,Hazelnut Latte (Small),1.39,270,9,9,40,38,0.115
Drink,Hazelnut Latte (Medium),1.79,330,11,10,50,47,0.14
Drink,Hazelnut Latte (Large),1.99,430,15,14,62,58,0.18
Drink,French Vanilla Latte (Small),1.39,260,9,9,38,36,0.115
Drink,French Vanilla Latte (Medium),1.79,330,11,10,48,45,0.14
Drink,French Vanilla Latte (Large),1.99,420,15,14,60,56,0.19
Drink,Mocha (Small),1.39,340,10,11,49,42,0.15
Drink,Mocha (Medium),1.79,410,13,14,60,53,0.19
Drink,Mocha (Large),1.99,500,16,17,72,63,0.24
Drink,Caramel Mocha (Small),1.39,320,10,11,45,40,0.17
Drink,Caramel Mocha (Medium),1.79,390,12,14,55,50,0.22
Drink,Caramel Mocha (Large),1.99,480,16,17,66,60,0.27
Drink,Regular Iced Coffee (Small),1.39,140,1,4.5,23,22,0.035
Drink,Regular Iced Coffee (Medium),1.79,190,1,7,31,30,0.05
Drink,Regular Iced Coffee (Large),1.99,270,2,9,47,45,0.075
Drink,Caramel Iced Coffee (Small),1.39,130,1,4.5,22,21,0.035
Drink,Caramel Iced Coffee (Medium),1.79,180,1,7,29,28,0.05
Drink,Caramel Iced Coffee (Large),1.99,260,2,9,43,42,0.065
Drink,Hazelnut Iced Coffee (Small),1.39,130,1,4.5,21,20,0.035
Drink,Hazelnut Iced Coffee (Medium),1.79,180,1,7,29,28,0.05
Drink,Hazelnut Iced Coffee (Large),1.99,250,2,9,43,41,0.075
Drink,French Vanilla Iced Coffee (Small),1.39,120,1,4.5,20,19,0.04
