Category,Item,Cost (USD),Calories,Fat (g),Carbs (g),Sugars (g),Protein (g),Sodium (g)
Breakfast,Almond Croissant,3.25,420,22,45,13,10,0.39
Dessert,Banana Nut Bread,2.29,420,22,52,30,6,0.32
Dessert,Birthday Cake Slice,3.5,170,9,23,18,1,0.11
Dessert,Blueberry Muffin,3.19,360,15,52,33,5,0.27
Dessert,Blueberry Oat Cake,2.45,390,12,71,33,7,0.43
Dessert,Blueberry Scone,2.45,380,17,54,22,6,0.35
Breakfast,Butter Croissant,2.45,260,15,27,5,5,0.32
Breakfast,Cheese Danish,2.45,290,14,33,11,7,0.4
Dessert,Chocolate Cake Slice,3.5,160,8,23,18,2,0.08
Dessert,Chocolate Chip Cookie,1.95,360,18,47,31,6,0.22
Dessert,Chocolate Croissant,3.25,340,20,38,13,5,0.28
Dessert,Cinnamon Raisin Bagel,3,270,1,58,11,9,0.37
Dessert,Classic Coffee Cake,3.5,330,15,43,21,4,0.27
Dessert,Confetti Sugar Cookie,1.95,410,21,54,36,4,0.22
Dessert,Double Chocolate Chunk Brownie,2.35,480,28,55,37,6,0.22
Sandwich,Everybody's Favorite - Bantam Bagel (2 Pack),2.95,200,8,28,2,6,0.28
Sandwich,Everything Bagel,2.25,290,4,53,5,11,0.45
Sandwich,French Toast - Bantam Bagels (2 Pack),3.75,200,8,30,4,6,0.36
Dessert,Gluten-Free Marshmallow Dream Bar,3,230,5,44,24,1,0.22
Dessert,Iced Lemon Loaf Cake,2.45,470,20,68,42,6,0.31
Dessert,Old-Fashioned Glazed Doughnut,1.95,480,27,56,30,5,0.41
Dessert,Petite Vanilla Bean Scone,2.25,120,4.5,18,8,2,0.095
Sandwich,Plain Bagel,1.99,280,1.5,56,2,9,0.62
Dessert,Pumpkin Bread,2.45,410,15,63,39,6,0.5
Sandwich,Sprouted Grain Vegan Bagel,2.45,330,6,57,4,12,0.49
Breakfast,Strawberry Cake Pop,2.45,160,8,22,16,4,0.08
Salad,Cage-Free Eggs & Seasoned Grains Side Salad,8.95,360,18,33,4,17,0.46
Salad,Cauliflower Tabbouleh Side Salad,8.95,130,12,7,3,2,0.52
Salad,Chicken & Fig Spread,8.95,460,13,61,15,24,0.94
Sandwich,Chipotle Chicken Wrap,5.95,470,19,55,6,22,1.05
Salad,Farmers' Market Protein Box,5.25,470,29,29,12,21,0.88
Salad,Garden Greens & Shaved Parmesan Side Salad,4.95,170,13,9,4,7,0.6
Salad,Grilled Chicken & Cauliflower Tabbouleh,5.95,390,27,15,7,21,1.14
Salad,Honey BBQ Sriracha Chicken,5.25,370,8,54,9,22,1.09
Salad,Roasted Carrot & Kale Side Salad,4.95,440,26,44,6,10,0.4
Salad,Roasted Turkey & Dill Havarti,7.45,580,31,46,4,32,0.86
Salad,Seasoned Turkey & Green Pepper Pico,7.99,390,18,30,8,28,0.9
